Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Gordon Hayward;CHO;ATL;W;33.33;4;8;0.5;0;1;0.0;2;3;0.667;3;5;8;7;1;1;6;1;10;9.4;25/10/2023
Dennis Smith;BRK;CLE;L;15.83;4;5;0.8;2;3;0.667;0;0;0.0;2;2;4;1;0;0;1;1;10;9.4;25/10/2023
Victor Wembanyama;SAS;DAL;L;23.32;6;9;0.667;3;5;0.6;0;1;0.0;0;5;5;2;2;1;5;5;15;9.3;25/10/2023
Jordan Poole;WAS;IND;L;26.32;7;18;0.389;0;6;0.0;4;5;0.8;0;2;2;5;1;1;4;1;18;9.2;25/10/2023
Chet Holmgren;OKC;CHI;W;25.12;4;7;0.571;2;3;0.667;1;3;0.333;0;4;4;3;1;0;1;3;11;9.0;25/10/2023
Brandon Miller;CHO;ATL;W;24.6;5;9;0.556;3;7;0.429;0;0;0.0;0;3;3;2;0;0;1;3;13;8.8;25/10/2023
Darius Garland;CLE;BRK;W;32.32;6;12;0.5;1;5;0.2;2;2;1.0;1;1;2;5;2;0;6;2;15;8.7;25/10/2023
Fred VanVleet;HOU;ORL;L;33.53;5;13;0.385;4;6;0.667;0;0;0.0;0;1;1;5;1;0;3;0;14;8.7;25/10/2023
Walker Kessler;UTA;SAC;L;22.17;4;5;0.8;0;0;0.0;0;0;0.0;4;4;8;0;0;1;1;3;8;8.6;25/10/2023
Karl-Anthony Towns;MIN;TOR;L;35.97;8;25;0.32;2;10;0.2;1;1;1.0;2;8;10;3;0;4;4;2;19;8.6;25/10/2023
Myles Turner;IND;WAS;W;23.33;5;8;0.625;0;2;0.0;1;2;0.5;0;8;8;1;0;3;2;4;11;8.6;25/10/2023
Bogdan  Bogdanovic;ATL;CHO;L;24.43;3;9;0.333;1;5;0.2;0;0;0.0;0;4;4;4;3;0;0;1;7;8.5;25/10/2023
JaVale McGee;SAC;UTA;W;13.45;4;4;1.0;0;0;0.0;0;0;0.0;0;1;1;1;0;1;0;0;8;8.5;25/10/2023
Jeremy Sochan;SAS;DAL;L;28.68;4;12;0.333;2;4;0.5;3;6;0.5;3;5;8;5;1;0;3;4;13;8.5;25/10/2023
Marcus Smart;MEM;NOP;L;32.1;6;11;0.545;2;6;0.333;3;6;0.5;0;0;0;3;2;0;5;3;17;8.4;25/10/2023
Kelly Olynyk;UTA;SAC;L;16.65;2;3;0.667;0;0;0.0;1;1;1.0;3;3;6;4;1;0;1;3;5;8.3;25/10/2023
Cedi Osman;SAS;DAL;L;22.27;5;10;0.5;2;6;0.333;0;0;0.0;0;0;0;2;0;1;0;2;12;8.3;25/10/2023
Robert Covington;LAC;POR;W;23.17;2;5;0.4;1;4;0.25;0;0;0.0;1;3;4;2;3;1;0;2;5;8.2;25/10/2023
Jonathan Isaac;ORL;HOU;W;14.15;4;6;0.667;1;3;0.333;2;3;0.667;1;3;4;0;0;2;2;2;11;8.2;25/10/2023
Mason Plumlee;LAC;POR;W;17.52;2;4;0.5;0;0;0.0;2;4;0.5;3;5;8;2;0;0;0;0;6;8.2;25/10/2023
Ben Simmons;BRK;CLE;L;22.98;2;6;0.333;0;0;0.0;0;0;0.0;1;9;10;9;0;1;2;2;4;8.2;25/10/2023
Patrick Williams;CHI;OKC;L;30.03;4;10;0.4;0;4;0.0;0;0;0.0;2;1;3;4;2;0;0;3;8;7.9;25/10/2023
Isaiah Hartenstein;NYK;BOS;L;25.72;3;4;0.75;0;0;0.0;1;2;0.5;5;3;8;2;0;0;1;5;7;7.8;25/10/2023
Malik Monk;SAC;UTA;W;23.13;4;12;0.333;2;9;0.222;0;0;0.0;1;1;2;7;0;2;2;2;10;7.7;25/10/2023
Jalen Brunson;NYK;BOS;L;32.58;6;21;0.286;3;8;0.375;0;1;0.0;1;2;3;6;3;0;2;3;15;7.6;25/10/2023
Aleksandar Vezenkov;SAC;UTA;W;15.62;3;6;0.5;2;5;0.4;0;0;0.0;1;1;2;0;2;0;0;1;8;7.6;25/10/2023
Luguentz Dort;OKC;CHI;W;32.58;3;8;0.375;2;5;0.4;0;0;0.0;0;7;7;2;2;1;2;1;8;7.4;25/10/2023
Andre Drummond;CHI;OKC;L;15.97;3;4;0.75;0;0;0.0;0;0;0.0;3;2;5;1;1;0;1;1;6;7.4;25/10/2023
Evan Mobley;CLE;BRK;W;33.62;5;11;0.455;0;0;0.0;0;0;0.0;1;5;6;1;0;2;0;3;10;7.4;25/10/2023
Al Horford;BOS;NYK;W;25.78;3;4;0.75;2;3;0.667;0;0;0.0;3;4;7;2;0;0;3;2;8;7.3;25/10/2023
Jaime Jaquez;MIA;DET;W;13.18;3;3;1.0;0;0;0.0;0;0;0.0;0;2;2;2;2;0;1;2;6;7.3;25/10/2023
Chris Duarte;SAC;UTA;W;14.73;3;5;0.6;3;4;0.75;0;0;0.0;1;1;2;1;0;0;0;3;9;7.2;25/10/2023
David Roddy;MEM;NOP;L;27.88;4;7;0.571;1;3;0.333;0;0;0.0;1;4;5;2;0;0;1;2;9;7.2;25/10/2023
T.J. McConnell;IND;WAS;W;6.0;2;2;1.0;0;0;0.0;0;0;0.0;0;1;1;2;2;0;0;0;4;7.1;25/10/2023
Goga Bitadze;ORL;HOU;W;4.8;2;2;1.0;0;0;0.0;3;4;0.75;1;2;3;0;1;0;1;1;7;6.9;25/10/2023
Naz Reid;MIN;TOR;L;23.77;3;8;0.375;0;2;0.0;4;4;1.0;1;3;4;1;0;0;1;0;10;6.9;25/10/2023
Jaylen Brown;BOS;NYK;W;38.13;4;11;0.364;0;4;0.0;3;4;0.75;0;6;6;5;1;0;2;5;11;6.8;25/10/2023
Quentin Grimes;NYK;BOS;L;23.33;4;7;0.571;3;6;0.5;0;1;0.0;0;1;1;0;0;0;0;2;11;6.8;25/10/2023
Keyonte George;UTA;SAC;L;18.88;3;5;0.6;1;3;0.333;1;1;1.0;0;2;2;2;0;0;1;0;8;6.7;25/10/2023
Marcus Sasser;DET;MIA;L;10.38;3;4;0.75;2;3;0.667;0;0;0.0;0;2;2;1;0;0;1;0;8;6.7;25/10/2023
Anthony Black;ORL;HOU;W;4.8;2;2;1.0;0;0;0.0;1;1;1.0;0;0;0;1;0;2;0;0;5;6.5;25/10/2023
Corey Kispert;WAS;IND;L;24.45;4;11;0.364;1;5;0.2;2;2;1.0;2;3;5;1;0;0;1;1;11;6.5;25/10/2023
Ayo Dosunmu;CHI;OKC;L;9.3;3;5;0.6;2;4;0.5;0;0;0.0;0;0;0;1;1;0;1;0;8;6.4;25/10/2023
Caris LeVert;CLE;BRK;W;31.37;4;17;0.235;3;8;0.375;0;0;0.0;0;3;3;5;1;1;0;1;11;6.4;25/10/2023
Ousmane Dieng;OKC;CHI;W;14.23;3;5;0.6;3;5;0.6;0;0;0.0;1;1;2;0;0;0;1;1;9;6.3;25/10/2023
Jae'Sean Tate;HOU;ORL;L;15.13;2;2;1.0;1;1;1.0;0;0;0.0;0;2;2;0;1;1;0;1;5;6.3;25/10/2023
Deandre Ayton;POR;LAC;L;23.08;2;4;0.5;0;0;0.0;0;0;0.0;3;9;12;1;3;1;3;5;4;6.2;25/10/2023
Alex Caruso;CHI;OKC;L;19.62;2;5;0.4;1;4;0.25;1;2;0.5;0;2;2;3;2;0;1;1;6;6.2;25/10/2023
Matt Ryan;NOP;MEM;W;13.85;3;6;0.5;3;6;0.5;0;0;0.0;0;1;1;1;0;0;0;2;9;6.2;25/10/2023
Wendell Carter;ORL;HOU;W;26.92;4;10;0.4;0;2;0.0;0;0;0.0;4;4;8;1;2;0;2;3;8;6.1;25/10/2023
Killian Hayes;DET;MIA;L;30.5;4;12;0.333;0;6;0.0;2;3;0.667;0;1;1;3;2;1;1;2;10;6.1;25/10/2023
Daniel Gafford;WAS;IND;L;21.05;2;2;1.0;0;0;0.0;2;4;0.5;1;4;5;0;0;2;0;5;6;5.9;25/10/2023
Jerami Grant;POR;LAC;L;29.95;5;12;0.417;0;4;0.0;3;4;0.75;2;1;3;1;0;1;3;1;13;5.9;25/10/2023
Jrue Holiday;BOS;NYK;W;34.78;4;10;0.4;1;5;0.2;0;0;0.0;2;2;4;2;0;3;2;3;9;5.9;25/10/2023
Dejounte Murray;ATL;CHO;L;32.73;3;14;0.214;0;3;0.0;5;6;0.833;0;2;2;6;0;0;1;0;11;5.8;25/10/2023
Nick Richards;CHO;ATL;W;18.05;2;2;1.0;0;0;0.0;3;4;0.75;1;3;4;1;0;1;2;3;7;5.8;25/10/2023
Maxi Kleber;DAL;SAS;W;23.05;2;7;0.286;2;5;0.4;0;0;0.0;2;5;7;2;0;1;0;3;6;5.7;25/10/2023
Dorian Finney-Smith;BRK;CLE;L;27.8;4;8;0.5;2;6;0.333;0;1;0.0;1;4;5;2;0;0;3;1;10;5.5;25/10/2023
Josh Hart;NYK;BOS;L;22.48;2;4;0.5;2;4;0.5;1;2;0.5;1;5;6;0;0;0;1;1;7;5.4;25/10/2023
Aaron Nesmith;IND;WAS;W;23.08;2;5;0.4;1;3;0.333;2;2;1.0;1;4;5;1;0;1;1;3;7;5.4;25/10/2023
Tyler Herro;MIA;DET;W;34.5;7;24;0.292;2;7;0.286;0;0;0.0;0;2;2;3;3;0;2;1;16;5.3;25/10/2023
Talen Horton-Tucker;UTA;SAC;L;21.8;3;9;0.333;2;4;0.5;0;0;0.0;0;1;1;4;0;1;1;1;8;5.3;25/10/2023
Ausar Thompson;DET;MIA;L;26.88;1;7;0.143;1;2;0.5;1;2;0.5;3;4;7;3;0;5;2;2;4;5.2;25/10/2023
